Village,risque_moyen_2026,risque_max_2026,mois_pic_2026,Province,Détection tardive,Animal non attaché,Source d'eau contaminée,Infection non isolée
MBAYAM | TCHAOUEN | BENOYE,0.003539859367242937,0.005863210069964061,2026-07,LOC,0.0,1.0,0.0,0.0
VABOLO | HAM | BONGOR,0.0035394893244988074,0.005088630943694877,2026-07,MKE,0.0,1.0,0.0,0.0
MANGARA 1 | BEMOULI | BALIMBA,0.003531198779215228,0.005906055902394288,2026-07,MC,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
KORMATA | BOGOMORO | BAILLI,0.003525881239387175,0.005468044312689816,2026-07,CB,0.0,0.5,0.0,0.0
MAIROM | KOKAGA | SARH,0.0035252876977649983,0.005798439464615703,2026-07,MC,0.0,0.0,0.0,0.0
KIDJIMINA 2 | KALME | BERE,0.003498465948067813,0.005985139349082161,2026-07,Tandjile,0.3333333333333333,0.5,0.5,0.5
ABACHERE | ONOKO | MASSENYA,0.003493021381354868,0.005468044312689816,2026-07,CB,0.0,1.0,0.0,0.0
KIRA | MANDA | BALIMBA,0.0034913952283762745,0.005631398762052227,2026-07,MC,0.0,0.0,0.0,0.0
YAMLHOKA 4 | YAMLHOKA | FIANGA,0.003490047725816251,0.005943306923851272,2026-08,MKE,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
KARA | TAMIO | BERE,0.003476930264597939,0.005985139349082161,2026-07,Tandjile,0.0,0.0,0.0,0.0
DJENGDRA 1 | TAMIO | BERE,0.0034589213658817327,0.005899834328804947,2026-07,Tandjile,0.0,0.5,0.0,0.0
NGONBA | WALIA EST | 9E ARRONDISSEMENT,0.003446765953558147,0.005985139349082161,2026-07,NDJ,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
RENI | RENI | BEDAYA,0.0034432645862696545,0.0054004214868389145,2026-07,MDL,0.0,1.0,0.0,0.0
BEMADJIRODJO | KEMATA | SARH,0.003438080946713474,0.004652651090802982,2026-07,MC,0.0,0.0,0.0,0.0
DAMBE-KOPHALAM | TAMIO | BERE,0.0034372204737020684,0.005899834328804947,2026-07,Tandjile,0.0,0.14285714285714285,0.0,0.0
DIBASSIA | KOKAGA | SARH,0.003433432442304216,0.005675906492016668,2026-07,MC,0.0,1.0,0.0,0.0
